y_true,probability,prediction
1,0.6799795937589996,1
0,0.08948476935752338,0
0,0.055009927931946825,0
0,0.4802968391275943,0
1,0.8502100856859374,1
1,0.7512163865640862,1
0,0.018938037712080025,0
0,0.04154207756729751,0
0,0.11977680095079762,0
1,0.9992636239532531,1
1,0.9983304209391312,1
1,0.6147267474763257,1
0,0.0015028443552769176,0
1,0.9970854731368464,1
0,0.015076144027920645,0
0,0.6613329109491675,1
0,0.027594147803893958,0
0,0.11590905733611402,0
1,0.5271952079748731,1
0,0.19718119565158376,0
0,0.6698845168052348,1
1,0.9468875947454023,1
0,0.9629069195598,1
1,0.5561707195406282,1
1,0.5869135859390203,1
0,0.6714129895219112,1
0,0.0008425709247256517,0
1,0.9966564356312722,1
0,0.27549928658396394,0
0,0.7450351161665978,1
1,0.8947049904048728,1
0,0.04963375252000198,0
0,0.16903834109267876,0
0,0.4946651994163604,0
0,0.19429503322459854,0
0,0.3663475521787493,0
0,0.01051866019636974,0
1,0.7583384814957314,1
0,0.2719797813443965,0
0,0.6101588881858465,1
0,0.0009903903218620978,0
0,0.016361045182922685,0
0,0.5737427080340161,1
1,0.9975647720036529,1
0,0.01162699603775684,0
0,0.6557665826170622,1
0,0.07074433072255756,0
0,0.00038497609786670577,0
0,0.018336948474464633,0
0,0.16356462981864692,0
0,0.5710262822724451,1
1,0.6618606380063002,1
0,0.04269758576972569,0
0,0.44608813952336346,0
1,0.9954032586803871,1
0,0.027587810803406183,0
0,0.049862632747756305,0
1,0.8961404673592864,1
0,0.5540617087250412,1
0,0.14457929121850552,0
0,0.017492027381056246,0
1,0.6536956146089272,1
1,0.9897230514296926,1
0,0.02291857730842466,0
0,0.045473577340204886,0
0,0.3667819172675424,0
0,0.00819924104475429,0
1,0.9437358519285477,1
0,0.2574379004962045,0
0,0.08893689566730066,0
1,0.03096559201771859,0
0,0.14894718596163176,0
0,0.6788102991820449,1
0,0.1314876535698735,0
0,0.01023190606923855,0
1,0.8945399062636467,1
0,0.4966908785155749,0
0,0.003931049102642142,0
1,0.9992156025233231,1
1,0.48922945399245027,0
0,0.05166525693886972,0
0,0.05413912229987258,0
0,0.15767999701095045,0
0,0.32826111925769536,0
0,0.056573755187826556,0
0,0.04347560230256651,0
0,0.5586213639754194,1
0,0.04064677878060504,0
0,0.020493910191918104,0
0,0.7679702178403984,1
0,0.78794397183208,1
0,0.023067640822691027,0
0,0.5036586738084261,1
0,0.24705978089569464,0
0,0.011535631141836485,0
1,0.9985868137085121,1
1,0.7561258211130548,1
1,0.6023328796803769,1
0,0.14176928947591205,0
1,0.9972834022397,1
0,0.5253758946080654,1
0,0.5260409634756318,1
1,0.9225237581854365,1
0,0.016311827207892704,0
1,0.9419108036666587,1
0,0.01691851602811883,0
1,0.998312636305022,1
1,0.9236232500954451,1
1,0.2904328868870945,0
0,0.7483722654270546,1
1,0.8916969403888665,1
0,0.01599388729259917,0
0,0.0016739929818896852,0
0,0.11113358943614192,0
0,0.005989230738617221,0
1,0.17869093143069126,0
1,0.8978010265602718,1
0,0.010700913197851842,0
0,0.0017013444861772426,0
0,0.038513557728298876,0
0,0.330753696768101,0
0,0.16451035044947218,0
1,0.7173315500582552,1
0,0.7179774952353265,1
0,0.5974619771351137,1
0,0.009214662190478595,0
0,0.42358615075645356,0
0,0.04234356521326444,0
0,0.01215156290196284,0
0,0.6284910483574435,1
0,0.00201926973494156,0
1,0.9718543322318965,1
0,0.02614951629119512,0
0,0.3237795097271783,0
1,0.11133717136707401,0
0,0.04494091731197372,0
0,0.7936080557965253,1
0,0.1855317671268435,0
0,0.0035242199076708633,0
0,0.2899774790329953,0
0,0.20069022478104956,0
0,0.10929414540949406,0
0,0.01910301958689381,0
0,0.325643211023945,0
1,0.6587407200735188,1
0,0.017157448809197156,0
1,0.10424252193098155,0
0,0.005145027401248755,0
0,0.09921897235551276,0
0,0.024391905248786785,0
0,0.2804853519690957,0
0,0.0268626114545157,0
0,0.5880486557642697,1
1,0.9813872397345345,1
0,0.28196739967600715,0
0,0.7341632746573049,1
0,0.7519103394953253,1
1,0.8509581440683698,1
0,0.11873044059455486,0
0,0.0009897899262658594,0
1,0.9973601535466504,1
0,0.803480037910448,1
0,0.001211654335235222,0
0,0.6003337109745116,1
0,0.1649517259706031,0
0,0.0089977588375621,0
0,0.010687992493324045,0
1,0.9836570819289558,1
0,0.021619167125054274,0
0,0.202552154926176,0
0,0.019539076630857032,0
0,0.03475731029314823,0
0,0.014826134921050234,0
1,0.819797231271412,1
1,0.8705686483174563,1
1,0.9994077306076199,1
0,0.019987514670139938,0
0,0.01144393555679269,0
0,0.029631190288830916,0
0,0.20930991728487772,0
0,0.6549320933858667,1
0,0.007926945487180996,0
0,0.6287063015732046,1
0,0.4910751191179235,0
1,0.9161381652041486,1
1,0.7486357759731262,1
0,0.001775617065514413,0
0,0.03396865053205652,0
0,0.001840021526252106,0
0,0.026458254671428018,0
0,0.6009867907196139,1
1,0.7518191599411584,1
0,0.03489386073032305,0
0,0.11486341156507761,0
0,0.0013992442034258996,0
1,0.9866094521138211,1
0,0.04733892323655964,0
1,0.9591410858423258,1
0,0.09203844194265808,0
0,0.06127424058662177,0
1,0.5420894033751391,1
0,0.7129156147233056,1
0,0.13320869424440615,0
0,0.8167548938422174,1
0,0.6712251217982351,1
0,0.1251835925431892,0
