age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,probability,prediction,batch_id,drift_strength
43,Private,157473,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0,0.04252779254121808,0,2,0.2
56,Private,157749,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,1,0.606279586391566,0,2,0.2
45,Private,174533,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,50,United-States,1,0.9978951833876065,1,2,0.2
38,Private,278557,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,0.8896402401366916,1,2,0.2
68,Private,535762,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1844,10,United-States,0,0.7955362837805616,1,2,0.2
27,Private,100079,HS-grad,9,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,60,China,0,0.07332700913932443,0,2,0.2
40,Private,469864,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,7965,0,55,United-States,0,0.957700351126965,1,2,0.2
28,Private,108569,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,0,0.7662024159735882,1,2,0.2
65,Private,172815,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,0.3158700736984918,0,2,0.2
44,Private,179136,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0,0.044320586913323724,0,2,0.2
24,Private,127647,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,0,0.015162864301336119,0,2,0.2
32,Private,251243,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,1,0.2962349583287376,0,2,0.2
82,Self-emp-not-inc,121944,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.167514134780017,0,2,0.2
17,Private,124661,11th,7,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,0,0.0010117173376707942,0,2,0.2
21,Private,25265,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,30,United-States,0,0.03737985894671145,0,2,0.2
56,Private,101128,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,25,Iran,0,0.08127051191691806,0,2,0.2
30,Private,169496,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,15,United-States,1,0.32639084647034,0,2,0.2
41,Private,230020,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-States,0,0.5758454600416788,0,2,0.2
32,Private,46746,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0,0.0773757113274487,0,2,0.2
33,Private,217962,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40,,0,0.02153233474551298,0,2,0.2
35,Private,102268,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0,0.8816688369344814,1,2,0.2
42,Private,252392,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.5241836912772272,0,2,0.2
58,Private,73019,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,4270,0,55,United-States,0,0.46207639344866963,0,2,0.2
62,State-gov,162678,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.8605837775101565,1,2,0.2
38,Private,32897,11th,7,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0,0.04547369136988404,0,2,0.2
61,Private,72442,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.6555073476891308,1,2,0.2
51,Private,87205,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,55,England,0,0.46161092297015227,0,2,0.2
37,Local-gov,328301,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,0,0.18050721351071533,0,2,0.2
49,Private,102953,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12030,0,55,United-States,0,0.9990512142177185,1,2,0.2
29,Private,145490,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0,0.1241103123883159,0,2,0.2
48,Local-gov,144122,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1,0.4576289784023229,0,2,0.2
38,Self-emp-inc,85566,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,65,United-States,0,0.3191976714463595,0,2,0.2
44,Private,296538,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,8716,0,57,United-States,0,0.9983824664171683,1,2,0.2
25,Private,109112,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,0,0.14581329354144218,0,2,0.2
34,Private,180060,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,12423,0,55,United-States,0,0.995407360317687,1,2,0.2
20,Private,274545,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,0,0.0009615167395162289,0,2,0.2
52,Private,146378,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.670506045216765,1,2,0.2
37,Private,190350,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,14493,0,55,United-States,0,0.9923225051919993,1,2,0.2
37,Private,109996,9th,5,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,0,0.10393831204950933,0,2,0.2
53,Private,174102,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0.670506045216765,1,2,0.2
46,Private,149949,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.23331058796111925,0,2,0.2
20,,124242,Some-college,10,Never-married,,Own-child,White,Female,0,0,40,United-States,0,0.0019997055604087637,0,2,0.2
53,Private,424079,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,1,0.9992592139910997,1,2,0.2
19,,860348,Some-college,10,Never-married,,Own-child,Black,Female,0,0,25,United-States,0,0.0007778054385376704,0,2,0.2
46,Local-gov,187749,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,1,0.8838831330928707,1,2,0.2
50,State-gov,173020,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.753182102813892,1,2,0.2
35,Private,187589,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.6389795531919245,0,2,0.2
67,Self-emp-not-inc,178878,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,12,United-States,0,0.09017561203590273,0,2,0.2
45,Self-emp-inc,88500,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,1,0.9976364477603751,1,2,0.2
42,Local-gov,213019,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1,0.29348976499771134,0,2,0.2
60,Private,166789,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,1408,50,United-States,0,0.10734599791040966,0,2,0.2
